time,x,v,KE,PE
2.18e-08,0.0399683,1.59341e+06,7.21779,0.929937
2.19e-08,0.040128,1.5966e+06,7.24674,0.898218
2.2e-08,0.040288,1.59975e+06,7.27529,0.876529
2.21e-08,0.0404483,1.60284e+06,7.30343,0.854797
2.22e-08,0.0406089,1.60588e+06,7.33116,0.833024
2.23e-08,0.0407697,1.60887e+06,7.35847,0.81121
2.24e-08,0.0409309,1.6118e+06,7.38537,0.789355
2.25e-08,0.0410924,1.61469e+06,7.41185,0.767462
2.26e-08,0.0412541,1.61752e+06,7.43789,0.745529
2.27e-08,0.0414162,1.62031e+06,7.46351,0.723558
2.28e-08,0.0415785,1.62304e+06,7.4887,0.70155
2.29e-08,0.041741,1.62572e+06,7.51346,0.679505
2.3e-08,0.0419039,1.62835e+06,7.53777,0.657424
2.31e-08,0.042067,1.63092e+06,7.56165,0.635307
2.32e-08,0.0422303,1.63345e+06,7.58508,0.613156
2.33e-08,0.0423939,1.63592e+06,7.60806,0.590971
2.34e-08,0.0425577,1.63834e+06,7.63059,0.568753
2.35e-08,0.0427218,1.64071e+06,7.65267,0.546503
2.36e-08,0.0428861,1.64303e+06,7.67429,0.52422
2.37e-08,0.0430506,1.64529e+06,7.69546,0.501907
2.38e-08,0.0432154,1.6475e+06,7.71616,0.479563
2.39e-08,0.0433804,1.64966e+06,7.7364,0.45719
2.4e-08,0.0435455,1.65177e+06,7.75617,0.434787
2.41e-08,0.0437109,1.65382e+06,7.77548,0.412356
2.42e-08,0.0438765,1.65583e+06,7.79431,0.389898
2.43e-08,0.0440423,1.65777e+06,7.81267,0.367413
2.44e-08,0.0442083,1.65967e+06,7.83055,0.344902
2.45e-08,0.0443744,1.66151e+06,7.84795,0.322366
2.46e-08,0.0445407,1.6633e+06,7.86488,0.299805
2.47e-08,0.0447072,1.66504e+06,7.88132,0.277219
2.48e-08,0.0448739,1.66673e+06,7.89727,0.254611
2.49e-08,0.0450407,1.66836e+06,7.91274,0.23198
2.5e-08,0.0452077,1.66994e+06,7.92772,0.220569
2.51e-08,0.0453749,1.67146e+06,7.94221,0.213011
2.52e-08,0.0455422,1.67293e+06,7.9562,0.205446
2.53e-08,0.0457096,1.67435e+06,7.9697,0.197875
2.54e-08,0.0458772,1.67572e+06,7.9827,0.190297
2.55e-08,0.0460449,1.67703e+06,7.99521,0.182714
2.56e-08,0.0462127,1.67829e+06,8.00722,0.175125
2.57e-08,0.0463807,1.67949e+06,8.01872,0.16753
2.58e-08,0.0465487,1.68065e+06,8.02973,0.159929
2.59e-08,0.0467169,1.68174e+06,8.04023,0.152324
2.6e-08,0.0468852,1.68279e+06,8.05022,0.144714
2.61e-08,0.0470536,1.68378e+06,8.05971,0.137099
2.62e-08,0.047222,1.68472e+06,8.06869,0.12948
2.63e-08,0.0473906,1.6856e+06,8.07716,0.121856
2.64e-08,0.0475592,1.68643e+06,8.08512,0.114229
2.65e-08,0.047728,1.68721e+06,8.09257,0.106599
2.66e-08,0.0478968,1.68793e+06,8.09951,0.0989643
2.67e-08,0.0480656,1.6886e+06,8.10593,0.091327
2.68e-08,0.0482345,1.68922e+06,8.11184,0.0836867
2.69e-08,0.0484035,1.68978e+06,8.11724,0.0760438
2.7e-08,0.0485725,1.69029e+06,8.12212,0.0683984
2.71e-08,0.0487416,1.69074e+06,8.12649,0.0607509
2.72e-08,0.0489107,1.69114e+06,8.13034,0.0531015
2.73e-08,0.0490799,1.69149e+06,8.13367,0.0454503
2.74e-08,0.0492491,1.69178e+06,8.13649,0.0377977
2.75e-08,0.0494183,1.69202e+06,8.13879,0.0301439
2.76e-08,0.0495875,1.69221e+06,8.14057,0.0224892
2.77e-08,0.0497567,1.69234e+06,8.14183,0.0148337
2.78e-08,0.049926,1.69241e+06,8.14258,0.00717778
2.79e-08,0.0500952,1.69244e+06,8.14281,0.000478383
2.8e-08,0.0502644,1.69241e+06,8.14251,0.00813454
2.81e-08,0.0504337,1.69232e+06,8.1417,0.0157904
2.82e-08,0.0506029,1.69219e+06,8.14038,0.0234458
2.83e-08,0.0507721,1.69199e+06,8.13853,0.0311005
2.84e-08,0.0509413,1.69175e+06,8.13617,0.0387541
2.85e-08,0.0511104,1.69145e+06,8.13329,0.0464065
2.86e-08,0.0512795,1.69109e+06,8.12989,0.0540575
2.87e-08,0.0514486,1.69069e+06,8.12597,0.0617067
2.88e-08,0.0516176,1.69023e+06,8.12154,0.069354
2.89e-08,0.0517866,1.68971e+06,8.1166,0.076999
2.9e-08,0.0519555,1.68914e+06,8.11113,0.0846416
2.91e-08,0.0521243,1.68852e+06,8.10516,0.0922815
2.92e-08,0.0522931,1.68784e+06,8.09867,0.0999185
2.93e-08,0.0524618,1.68712e+06,8.09167,0.107552
2.94e-08,0.0526305,1.68633e+06,8.08415,0.115183
2.95e-08,0.052799,1.68549e+06,8.07613,0.122809
2.96e-08,0.0529675,1.6846e+06,8.06759,0.130432
2.97e-08,0.0531359,1.68366e+06,8.05855,0.138051
2.98e-08,0.0533041,1.68266e+06,8.049,0.145665
2.99e-08,0.0534723,1.68161e+06,8.03894,0.153275
3e-08,0.0536403,1.6805e+06,8.02838,0.160879
3.01e-08,0.0538083,1.67935e+06,8.01731,0.168479
3.02e-08,0.0539761,1.67813e+06,8.00574,0.176073
3.03e-08,0.0541438,1.67687e+06,7.99368,0.183662
3.04e-08,0.0543113,1.67555e+06,7.98111,0.191245
3.05e-08,0.0544787,1.67418e+06,7.96804,0.198821
3.06e-08,0.054646,1.67275e+06,7.95448,0.206392
3.07e-08,0.0548131,1.67127e+06,7.94042,0.213956
3.08e-08,0.0549801,1.66974e+06,7.92587,0.221513
3.09e-08,0.0551469,1.66816e+06,7.91083,0.23481
3.1e-08,0.0553136,1.66652e+06,7.8953,0.257438
3.11e-08,0.0554801,1.66483e+06,7.87929,0.280043
3.12e-08,0.0556464,1.66308e+06,7.86279,0.302625
3.13e-08,0.0558125,1.66129e+06,7.84581,0.325183
3.14e-08,0.0559784,1.65944e+06,7.82834,0.347717
3.15e-08,0.0561442,1.65753e+06,7.8104,0.370225
3.16e-08,0.0563098,1.65558e+06,7.79198,0.392706
3.17e-08,0.0564751,1.65357e+06,7.77309,0.415161
3.18e-08,0.0566403,1.65151e+06,7.75373,0.437588
3.19e-08,0.0568052,1.6494e+06,7.7339,0.459987
3.2e-08,0.0569699,1.64723e+06,7.7136,0.482357
3.21e-08,0.0571344,1.64501e+06,7.69284,0.504697
3.22e-08,0.0572987,1.64274e+06,7.67162,0.527007
3.23e-08,0.0574627,1.64042e+06,7.64994,0.549285
3.24e-08,0.0576265,1.63804e+06,7.6278,0.571532
3.25e-08,0.0577901,1.63562e+06,7.60521,0.593746
3.26e-08,0.0579534,1.63314e+06,7.58217,0.615926
3.27e-08,0.0581165,1.63061e+06,7.55869,0.638073
3.28e-08,0.0582793,1.62802e+06,7.53476,0.660185
3.29e-08,0.0584418,1.62539e+06,7.51039,0.682262
3.3e-08,0.0586041,1.6227e+06,7.48558,0.704302
3.31e-08,0.0587661,1.61996e+06,7.46034,0.726306
3.32e-08,0.0589278,1.61717e+06,7.43466,0.748272
3.33e-08,0.0590892,1.61433e+06,7.40856,0.7702
3.34e-08,0.0592504,1.61144e+06,7.38203,0.792089
3.35e-08,0.0594112,1.60849e+06,7.35508,0.813938
3.36e-08,0.0595718,1.6055e+06,7.32772,0.835747
3.37e-08,0.059732,1.60245e+06,7.29994,0.857515
3.38e-08,0.059892,1.59936e+06,7.27174,0.879242
3.39e-08,0.0600516,1.59621e+06,7.24314,0.900926
3.4e-08,0.0602109,1.59301e+06,7.21414,0.93444
3.41e-08,0.0603699,1.58976e+06,7.18474,0.970436
3.42e-08,0.0605285,1.58646e+06,7.15494,1.00636
3.43e-08,0.0606868,1.58311e+06,7.12474,1.0422
3.44e-08,0.0608448,1.57971e+06,7.09416,1.07797
3.45e-08,0.0610024,1.57625e+06,7.0632,1.11366
3.46e-08,0.0611597,1.57275e+06,7.03185,1.14928
3.47e-08,0.0613166,1.5692e+06,7.00013,1.18481
3.48e-08,0.0614732,1.5656e+06,6.96803,1.22027
3.49e-08,0.0616294,1.56195e+06,6.93557,1.25564
3.5e-08,0.0617852,1.55825e+06,6.90274,1.29092
3.51e-08,0.0619406,1.5545e+06,6.86955,1.32613
3.52e-08,0.0620957,1.5507e+06,6.836,1.36125
3.53e-08,0.0622504,1.54685e+06,6.8021,1.39628
3.54e-08,0.0624047,1.54295e+06,6.76785,1.43122
3.55e-08,0.0625586,1.539e+06,6.73326,1.46608
3.56e-08,0.0627121,1.535e+06,6.69834,1.50084
3.57e-08,0.0628652,1.53096e+06,6.66307,1.53552
3.58e-08,0.0630179,1.52686e+06,6.62748,1.5701
3.59e-08,0.0631701,1.52272e+06,6.59156,1.60459
3.6e-08,0.063322,1.51853e+06,6.55532,1.63898
3.61e-08,0.0634734,1.51429e+06,6.51877,1.67328
3.62e-08,0.0636244,1.51e+06,6.4819,1.70748
3.63e-08,0.063775,1.50566e+06,6.44473,1.74159
3.64e-08,0.0639251,1.50128e+06,6.40725,1.7756
3.65e-08,0.0640748,1.49685e+06,6.36948,1.8095
3.66e-08,0.064224,1.49237e+06,6.33142,1.84331
3.67e-08,0.0643728,1.48784e+06,6.29306,1.87701
3.68e-08,0.0645212,1.48327e+06,6.25443,1.91062
3.69e-08,0.064669,1.47865e+06,6.21551,1.94411
3.7e-08,0.0648164,1.47398e+06,6.17633,1.97751
3.71e-08,0.0649633,1.46926e+06,6.13687,2.01079
3.72e-08,0.0651098,1.4645e+06,6.09715,2.04728
3.73e-08,0.0652558,1.45969e+06,6.05718,2.09358
